                      Address  Address_Encoded
0                        دروس              115
1      دریاچه شهدای خلیج فارس              119
2                    شهرک غرب              190
3                   نظام‌آباد              280
4                       اباذر               11
6                   کوی فردوس              320
8                      نامشخص              276
9            ابوذر (منطقه ۱۵)               14
10                   اختیاریه               17
11                       پونک              304
13                       طرشت              222
16                 سعادت‌آباد              147
17                       هروی              288
19                    فرمانیه              236
20                     افسریه               25
22                  آذربایجان                3
23                   میرداماد              270
25                آبشار تهران                1
26                   شهر زیبا              173
28                      چیتگر              307
29                   شمس‌آباد              169
30                   مرزداران              257
33               شهرک راه‌آهن              184
36              سازمان برنامه              139
39             جنت‌آباد جنوبی               78
41                      جیحون               86
43                شهران جنوبی              175
44                         جی               85
46                       آهنگ                9
48                      هاشمی              286
49             جنت‌آباد شمالی               79
50                    نیاوران              283
52                       نواب              282
53            خواجه نصیر طوسی              104
54               دهکده المپیک              123
60                شهران شمالی              176
64                  شمیران‌نو              171
73             جنت‌آباد مرکزی               80
75               امام حسین(ع)               29
79                     بریانک               51
81                      سبلان              140
82                   پاسداران              299
86                    ستارخان              141
87                     مجیدیه              252
104                  کوی فراز              319
106                  سیدخندان              157
110                  هفت چنار              291
113            تهرانپارس غربی               65
117                     زنجان              135
119                    شهرآرا              174
122                  دریان‌نو              118
124                  علی‌آباد              230
128         اندیشه (شهر زیبا)               39
140                  زعفرانیه              133
150                      فلاح              237
151               شهرک ولیعصر              199
152                     اتابک               15
159                  بهارستان               56
164                      کوثر              316
165                    صادقیه              218
169                    وحیدیه              293
170                     گرگان              325
174                 سازمان آب              138
177                    جماران               75
183                 نازی‌آباد              275
185                    قیطریه              247
189              شهرک طالقانی              189
193                    پیروزی              305
197                    دزاشیب              120
202                   سهروردی              154
203                   درب دوم              111
209                    حکیمیه               96
210                     شکوفه              212
213                 دولت‌آباد              127
216                    سلسبیل              150
222            پاتریس لومومبا              298
223                      کوهک              317
228                     نارمک              273
230                استاد معین               22
252            تهرانپارس شرقی               64
256              خانی‌آباد نو               99
262            گیشا (کوی نصر)              329
267                    جمهوری               77
275                   باغ فیض               50
317                    مشیریه              260
318                    امیریه               37
320                    ده‌ونک              124
327                    اقدسیه               26
350                   هفت حوض              290
355           شهرک شهید باقری              187
359        منصوریه (پل سیمان)              263
370                  ملک‌آباد              262
381                     ایران               43
387                       ظفر              225
393                     اتحاد               16
395                     حصارک               93
397             مهرآباد جنوبی              265
401                      قلهک              243
421                  سعیدآباد              148
425                  کوی بیمه              318
437                  آجودانیه                2
441                      مینا              271
446                      جردن               73
454                   اسکندری               24
466                   اکباتان               42
476                       ارم               20
477          خواجه نظام الملک              105
488                     اوقاف               40
498                       ونک              297
503                    سوهانک              155
514                 یافت‌آباد              331
531             دروازه شمیران              114
548          مبارک‌آباد بهشتی              250
551                 یوسف‌آباد              332
564                      زمزم              134
565                      پلیس              303
578                 عباس‌آباد              228
583                      سپهر              156
596                     کرمان              313
598                 کوی مهران              321
609                   دارآباد              106
647                    ارامنه               19
659                   سلیمانی              151
668                   مسعودیه              258
674                     بازار               46
689                      ازگل               21
